,date,tmp,angle,angle_std
105,14/08/2018,30.84166667,297.9166667,14.45370964
106,15/08/2018,31.70833333,308.2222222,17.50414413
107,16/08/2018,32.19444444,308.3055556,15.37823036
108,17/08/2018,31.48333333,305.6111111,14.87779437
109,18/08/2018,31.46111111,307.4444444,12.82021937
110,19/08/2018,31.28055556,309.5555556,16.29663299
111,20/08/2018,32.23333333,305.25,20.75836511
112,21/08/2018,32.67222222,303.4444444,20.21749029
113,22/08/2018,31.49444444,316.2777778,13.43422477
114,23/08/2018,32.11388889,326.75,12.57063377
115,24/08/2018,32.84722222,328.3611111,55.20122421
116,25/08/2018,31.67222222,325.9722222,12.73552798
117,26/08/2018,31.09722222,306.7222222,10.03773744
118,27/08/2018,31.37777778,307.6666667,10.17622501
119,28/08/2018,32.18055556,319,18.36814876
120,29/08/2018,31.67241379,339.4482759,9.253466105
121,30/08/2018,31.54722222,316.1944444,94.06788903
122,31/08/2018,31.83333333,325.5555556,56.00666847
123,01/09/2018,31.61388889,325.6111111,18.85953602
124,02/09/2018,31.74722222,326.9444444,10.41885162
125,03/09/2018,32.51388889,317.6944444,19.31726264
126,04/09/2018,33.61666667,320.7777778,55.50330877
127,05/09/2018,33.29444444,308.0277778,12.41971128
128,06/09/2018,30.91111111,295.1666667,15.5697356
129,07/09/2018,30.91666667,305.0555556,9.198262047
130,08/09/2018,30.31944444,301.3333333,9.76956726
131,09/09/2018,30.4,300.9166667,11.9614543
132,10/09/2018,31.03888889,307.5,14.12346353
133,11/09/2018,31.57777778,295.5555556,116.428434
134,12/09/2018,31.525,312.4444444,92.94306634
135,13/09/2018,31.12777778,324.75,55.571463
136,14/09/2018,30.61388889,327.9166667,10.4943768
137,15/09/2018,30.325,333.0277778,8.892837665
138,16/09/2018,30.15555556,324.7777778,56.23023658
139,17/09/2018,30.49166667,325.6944444,16.5978905
140,18/09/2018,31.21666667,311.1388889,15.36256774
141,19/09/2018,31.31111111,306.4166667,17.49980159
142,20/09/2018,31.43333333,319.8888889,13.6336548
143,21/09/2018,30.19444444,315.8888889,15.8303116
144,22/09/2018,30.40555556,328.2222222,18.35621468
145,23/09/2018,30.88611111,322.4166667,76.74357555
146,24/09/2018,30.76944444,301.8888889,104.147539
147,25/09/2018,30.37222222,312.6111111,13.60816295
148,26/09/2018,30.63888889,299.4444444,82.39789791
149,27/09/2018,30.99722222,321.0277778,57.35246101
150,28/09/2018,32.56388889,279.7777778,120.8645043
151,29/09/2018,33.22777778,117.0555556,155.2422738
152,30/09/2018,31.26944444,276.4444444,50.39038954
153,01/10/2018,30.13055556,194.7777778,166.7086799
154,02/10/2018,31.23888889,215.2777778,168.5054584
