num,name,x,y,date_field
98,נירים‎,34.379311,31.331939,5/6/2018
99,בארי,34.477844,31.434229,7/6/2018
100,כיסופים,34.3927,31.38852,7/6/2018
101,נחל עוז,34.492178,31.476622,7/6/2018
102,סעד‎,34.53548,31.465971,7/6/2018
103,בארי,34.471493,31.426612,7/6/2018
104,בארי,34.474926,31.431153,7/6/2018
105,ניר עם,34.575176,31.524703,8/6/2018
106,כרם שלום,34.278803,31.226748,8/6/2018
107,שדות ניר עם‎,34.575972,31.491722,8/6/2018
108,ניר עם,34.576167,31.511194,8/6/2018
109,ניר עם,34.591278,31.511528,8/6/2018
110,כיסופים,34.388237,31.382951,8/6/2018
111,בארי,34.467373,31.429103,8/6/2018
112,נחל עוז,34.486599,31.474646,8/6/2018
113,בארי,34.483166,31.431739,9/6/2018
114,בארי,34.481449,31.43628,9/6/2018
115,בארי,34.475613,31.438623,9/10/2018
116,כיסופים,34.39167,31.381925,9/6/2018
117,כיסופים,34.390297,31.385443,9/6/2018
118,ניר עם‎,34.58723,31.501972,9/6/2018
119,גבים,34.595476,31.500451,9/6/2018
120,ניר עם‎,34.582803,31.512783,9/6/2018
121,שדרות‎‎‎,34.583845,31.527117,9/6/2018
122,ניר עם‎‎,34.582107,31.524922,8/6/2018
123,ניר עם‎,34.580541,31.526751,9/6/2018
124,ניר עם‎,34.575512,31.522209,9/6/2018
125,נחל אסף‎,34.413175,31.341739,9/6/2018
126,ניר עם‎,34.575512,31.522209,9/6/2018
127,יכיני‎,34.595604,31.489139,9/6/2018
128,ניר עם‎,34.571592,31.506672,9/6/2018
129,ניר עם‎,34.579554,31.502495,10/6/2018
130,כיסופים‎,34.389782,31.379287,10/6/2018
131,נתיב העשרה,34.53063,31.576488,9/6/2018
132,נתיב העשרה,34.532433,31.576269,9/6/2018
133,ארז‎,34.560928,31.550782,9/6/2018
134,ניר עם,34.574822,31.517756,10/6/2018
135,יעק שוקדה,34.51458,31.429981,11/6/2018
136,יד מרדכי‎,34.557066,31.590636,11/6/2018
137,שדרות,34.595003,31.540505,11/6/2018
138,ניר עם,34.561787,31.519728,11/6/2018
139,ניר עם,34.574962,31.530769,11/6/2018
140,ניר עם‎,34.583422,31.509901,11/6/2018
141,ניר עם,34.583336,31.510596,11/6/2018
142,ניר עם,34.554523,31.506197,11/6/2018
143,ניר עם,34.574967,31.530837,11/6/2018
144,"החץ השחור, ניר עם",34.554523,31.506197,11/6/2018
145,מפלסים‎‎‎‎,34.557495,31.504947,11/6/2018
146,כפר עזה,34.528409,31.483672,11/6/2018
147,"עה""ש-כיסופים‎",34.411068,31.358768,11/6/2018
148,ניר עם,34.575152,31.510831,11/6/2018
149,גבעת דבשת הגמל,34.576206,31.529092,11/6/2018
150,אגם שיקמה‎‎‎,34.515449,31.599466,12/6/2018
151,ניר עם,34.583275,31.488546,12/6/2018
152,ניר עם - נסיון שלא הצליח‎,34.577418,31.516241,12/6/2018
153,ברור חיל,34.635086,31.554695,12/6/2018
